plate,timestamp
12AA32,2025-05-25T20:49:57.648288
U2AA34,2025-05-25T20:49:58.322703
JEI2AA349,2025-05-25T20:59:09.307095
J2AA34I,2025-05-25T20:59:10.163394
NAA34J,2025-05-25T20:59:12.145012
J12AA349,2025-05-25T20:59:22.950762
TREES,2025-05-25T20:59:24.014344
JAIZAA349,2025-05-25T20:59:25.512436
JETZAASA,2025-05-25T20:59:30.230634
IZAA3,2025-05-25T20:59:31.211944
GIZAA349,2025-05-25T20:59:32.223427
12AA34,2025-05-25T20:59:38.096637
LAA34,2025-05-25T20:59:38.096877
12AA34H,2025-05-25T20:59:40.507186
HIZAA349,2025-05-25T20:59:42.361492
ZAA349,2025-05-25T20:59:46.572368
CTER,2025-05-25T20:59:48.978217
POZASITY,2025-05-25T20:59:55.420350
PIZAA343,2025-05-25T21:00:00.505545
ZAA3A9,2025-05-25T21:00:01.426591
JEZAA329,2025-05-25T21:00:02.547950
ARIZ,2025-05-25T21:00:04.576404
PEAA34,2025-05-25T21:00:17.501552
EIZAA32,2025-05-25T21:00:19.227347
T2AA349,2025-05-25T21:01:20.252012
DA797,2025-05-25T21:02:47.392614
VFNTA,2025-05-25T21:05:37.620770
MF74,2025-05-25T21:09:40.840380
1797,2025-05-25T21:10:31.645543
D194,2025-05-25T21:10:37.817126
D97L,2025-05-25T21:13:02.866329
MSH4,2025-05-25T21:17:23.883844
D97L,2025-05-25T21:21:23.529680
LIPT,2025-05-25T21:24:52.791428
MFTP,2025-05-25T21:28:53.438444
CSHIRT,2025-05-25T22:19:24.703992
AZAA34Y,2025-05-25T22:55:22.958633,AZAA34Y_20250525_225522_958633.jpg
IZAA329,2025-05-25T22:55:23.559999,IZAA329_20250525_225523_559999.jpg
4AGR,2025-05-25T22:55:37.539385,4AGR_20250525_225537_539385.jpg
ZAA3Z,2025-05-25T22:55:46.831659,ZAA3Z_20250525_225546_831659.jpg
I2AA37,2025-05-25T22:57:05.327208,I2AA37_20250525_225705_327208.jpg
LIMA,2025-05-25T23:00:20.515261,LIMA_20250525_230020_515261.jpg
MFNC86,2025-05-25T23:06:47.084345,MFNC86_20250525_230647_084345.jpg
PM75,2025-05-25T23:11:46.622357,PM75_20250525_231146_622357.jpg
S743,2025-05-25T23:11:57.785752,S743_20250525_231157_785752.jpg
BNCY,2025-05-25T23:12:09.102713,BNCY_20250525_231209_102713.jpg
SS74S,2025-05-25T23:12:52.092408,SS74S_20250525_231252_092408.jpg
